subject,day,condition,choice_correct,confidence
sub19,1,unpredictable,False,1
sub19,1,unpredictable,False,3
sub19,1,predictable,True,7
sub19,1,unpredictable,False,3
sub19,1,predictable,False,1
sub19,1,predictable,True,7
sub19,1,predictable,True,7
sub20,1,unpredictable,False,2
sub20,1,predictable,True,4
sub20,1,predictable,True,2
sub20,1,unpredictable,False,2
sub20,1,predictable,True,7
sub20,1,predictable,False,3
sub20,1,unpredictable,True,4
sub20,1,unpredictable,True,4
sub20,1,unpredictable,True,3
sub20,1,unpredictable,False,5
sub20,1,predictable,True,6
sub20,1,unpredictable,False,3
sub20,1,predictable,True,2
sub20,1,predictable,True,4
sub20,1,predictable,True,7
sub20,1,unpredictable,False,5
sub21,1,predictable,False,2
sub21,1,predictable,True,3
sub21,1,predictable,True,7
sub21,1,unpredictable,False,4
sub21,1,unpredictable,False,1
sub21,1,unpredictable,False,3
sub21,1,unpredictable,False,2
sub21,1,unpredictable,False,2
sub21,1,unpredictable,False,1
sub21,1,unpredictable,False,4
sub21,1,predictable,False,3
sub21,1,predictable,True,7
sub21,1,unpredictable,False,3
sub21,1,predictable,False,2
sub21,1,predictable,False,3
sub21,1,predictable,True,3
sub22,1,predictable,True,7
sub22,1,predictable,False,1
sub22,1,unpredictable,False,4
sub22,1,unpredictable,False,4
sub22,1,predictable,False,3
sub22,1,unpredictable,False,4
sub22,1,unpredictable,False,3
sub22,1,predictable,False,3
sub22,1,predictable,True,4
sub22,1,unpredictable,False,3
sub22,1,unpredictable,True,3
sub22,1,predictable,True,6
sub22,1,predictable,False,3
sub22,1,unpredictable,True,3
sub22,1,predictable,False,3
sub22,1,unpredictable,False,1
sub23,1,predictable,True,6
sub23,1,unpredictable,False,1
sub23,1,unpredictable,False,2
sub23,1,unpredictable,False,2
sub23,1,predictable,False,1
sub23,1,unpredictable,False,4
sub23,1,predictable,True,3
sub23,1,unpredictable,False,7
sub23,1,unpredictable,True,1
sub23,1,unpredictable,True,3
sub23,1,predictable,False,5
sub23,1,predictable,True,1
sub23,1,predictable,False,3
sub23,1,predictable,False,2
sub23,1,predictable,True,3
sub23,1,unpredictable,False,2
sub24,1,predictable,False,1
sub24,1,predictable,True,1
sub24,1,predictable,True,1
sub24,1,unpredictable,False,1
sub24,1,predictable,True,1
sub24,1,unpredictable,False,1
sub24,1,unpredictable,True,1
sub24,1,unpredictable,False,1
sub24,1,unpredictable,False,1
sub24,1,predictable,True,1
sub24,1,predictable,False,1
sub24,1,unpredictable,False,1
sub24,1,predictable,False,1
sub24,1,unpredictable,False,1
sub24,1,predictable,False,1
sub24,1,unpredictable,False,1
sub25,1,predictable,False,3
sub25,1,predictable,True,1
sub25,1,predictable,False,4
sub25,1,unpredictable,False,1
sub25,1,unpredictable,False,2
sub25,1,predictable,False,4
sub25,1,unpredictable,False,4
sub25,1,predictable,False,4
sub25,1,predictable,True,7
sub25,1,unpredictable,False,3
sub25,1,predictable,True,5
sub25,1,predictable,True,7
sub25,1,unpredictable,False,2
sub25,1,unpredictable,False,1
sub25,1,unpredictable,True,1
sub25,1,unpredictable,False,1
sub26,1,predictable,True,3
sub26,1,predictable,True,6
sub26,1,predictable,True,4
sub26,1,predictable,False,3
sub26,1,unpredictable,True,3
sub26,1,unpredictable,False,2
sub26,1,predictable,False,3
sub26,1,predictable,False,4
sub26,1,unpredictable,False,4
sub26,1,unpredictable,True,2
sub26,1,unpredictable,False,2
sub26,1,predictable,False,3
sub26,1,unpredictable,False,3
sub26,1,predictable,False,2
sub26,1,unpredictable,False,3
sub26,1,unpredictable,True,3
sub27,1,unpredictable,False,1
sub27,1,predictable,True,1
sub27,1,unpredictable,True,1
sub27,1,predictable,True,1
sub27,1,predictable,True,1
sub27,1,predictable,False,1
sub27,1,unpredictable,False,1
sub27,1,unpredictable,False,1
sub27,1,predictable,False,1
sub27,1,predictable,True,1
sub27,1,predictable,True,1
sub27,1,unpredictable,True,2
sub27,1,unpredictable,False,1
sub27,1,predictable,False,3
sub27,1,unpredictable,True,1
sub27,1,unpredictable,True,1
sub28,1,predictable,True,5
sub28,1,predictable,True,7
sub28,1,predictable,True,7
sub28,1,predictable,True,5
sub28,1,unpredictable,True,1
sub28,1,predictable,True,7
sub28,1,predictable,True,6
sub28,1,unpredictable,False,2
sub28,1,predictable,True,7
sub28,1,unpredictable,False,2
sub28,1,unpredictable,False,5
sub28,1,unpredictable,False,5
sub28,1,unpredictable,False,2
sub28,1,unpredictable,True,1
sub28,1,predictable,True,3
sub28,1,unpredictable,True,1
sub29,1,predictable,False,4
sub29,1,predictable,False,2
sub29,1,predictable,True,5
sub29,1,predictable,False,3
sub29,1,predictable,False,5
sub29,1,unpredictable,False,3
sub29,1,unpredictable,False,4
sub29,1,unpredictable,False,4
sub29,1,predictable,False,1
sub29,1,unpredictable,False,3
sub29,1,predictable,False,2
sub29,1,predictable,False,3
sub29,1,unpredictable,False,3
sub29,1,unpredictable,True,4
sub29,1,unpredictable,False,3
sub29,1,unpredictable,False,2
sub30,1,predictable,False,3
sub30,1,predictable,False,2
sub30,1,predictable,False,3
sub30,1,predictable,False,2
sub30,1,unpredictable,False,4
sub30,1,unpredictable,False,3
sub30,1,unpredictable,False,3
sub30,1,unpredictable,False,3
sub30,1,predictable,False,3
sub30,1,unpredictable,False,3
sub30,1,unpredictable,False,2
sub30,1,unpredictable,False,3
sub30,1,predictable,False,4
sub30,1,predictable,True,4
sub30,1,unpredictable,True,3
sub30,1,predictable,True,3
sub31,1,unpredictable,False,1
sub31,1,predictable,False,1
sub31,1,predictable,False,1
sub31,1,predictable,False,1
sub31,1,unpredictable,False,1
sub31,1,predictable,False,1
sub31,1,predictable,False,1
sub31,1,predictable,True,1
sub31,1,unpredictable,False,1
sub31,1,unpredictable,False,1
sub31,1,unpredictable,False,1
sub31,1,unpredictable,False,1
sub31,1,unpredictable,True,1
sub31,1,predictable,False,1
sub31,1,unpredictable,False,1
sub31,1,predictable,True,1
sub32,1,unpredictable,False,3
sub32,1,unpredictable,True,2
sub32,1,predictable,True,6
sub32,1,unpredictable,False,1
sub32,1,predictable,True,1
sub32,1,unpredictable,False,2
sub32,1,unpredictable,False,1
sub32,1,predictable,True,6
sub32,1,predictable,False,2
sub32,1,predictable,True,4
sub32,1,predictable,True,2
sub32,1,predictable,False,1
sub32,1,predictable,True,1
sub32,1,unpredictable,False,1
